,NAME,STATE,STATEFP,COUNTYFP,NAMELSAD,POINT,SITE
1942,Tallahatchie,Mississippi,28,135,Tallahatchie County,POINT (-90.220367 33.895741),13415
1943,Tallahatchie,Mississippi,28,135,Tallahatchie County,POINT (-90.196838 33.912632),13482
1944,Atchison,Kansas,20,005,Atchison County,POINT (-95.028656 39.439396),44882
1945,Atchison,Kansas,20,005,Atchison County,POINT (-95.076904 39.421314),44794
1946,Atchison,Kansas,20,005,Atchison County,POINT (-94.980988 39.420422),44796
1947,Andrews,Texas,48,003,Andrews County,POINT (-102.786377 32.094711),10040
1948,Andrews,Texas,48,003,Andrews County,POINT (-102.658325 32.103836),10041
1949,Andrews,Texas,48,003,Andrews County,POINT (-103.056885 32.421112),10788
1950,Miami,Ohio,39,109,Miami County,POINT (-84.07830800000001 40.157356),54859
1951,Miami,Ohio,39,109,Miami County,POINT (-84.05072 40.172939),55071
1952,Miami,Ohio,39,109,Miami County,POINT (-84.418457 40.045853),53366
1953,Potter,Texas,48,375,Potter County,POINT (-102.164642 35.193165),19605
1954,Potter,Texas,48,375,Potter County,POINT (-102.142273 35.194576),19606
1955,Potter,Texas,48,375,Potter County,POINT (-102.119904 35.19598),19607
1956,Seminole,Oklahoma,40,133,Seminole County,POINT (-96.77087400000001 34.925694),16463
1957,Seminole,Oklahoma,40,133,Seminole County,POINT (-96.771118 34.944027),16568
1958,Seminole,Oklahoma,40,133,Seminole County,POINT (-96.748749 34.944187),16569
1959,Aiken,South Carolina,45,003,Aiken County,POINT (-81.509216 33.655163),15547
1960,Mendocino,,06,045,Mendocino County,POINT (-124.067123 39.976654),89905
1961,Mendocino,,06,045,Mendocino County,POINT (-123.71933 38.911545),76058
1962,Mendocino,,06,045,Mendocino County,POINT (-123.743561 38.96376),76647
1963,Chesapeake,Virginia,51,550,Chesapeake city,POINT (-76.380737 36.726837),41005
1964,Chesapeake,Virginia,51,550,Chesapeake city,POINT (-76.358459 36.722359),41006
1965,Chesapeake,Virginia,51,550,Chesapeake city,POINT (-76.35290500000001 36.740223),41101
1966,Sweetwater,Wyoming,56,037,Sweetwater County,POINT (-107.527802 41.702606),73122
1967,Sweetwater,Wyoming,56,037,Sweetwater County,POINT (-107.534943 41.739395),73508
1968,Sweetwater,Wyoming,56,037,Sweetwater County,POINT (-107.510284 41.742054),73509
1969,Garza,Texas,48,169,Garza County,POINT (-101.157166 32.98101),11654
1970,Garza,Texas,48,169,Garza County,POINT (-101.135498 32.982174),11655
1971,Garza,Texas,48,169,Garza County,POINT (-101.382416 33.078022),11913
1972,Hardy,West Virginia,54,031,Hardy County,POINT (-78.706238 39.092083),51876
1973,Hardy,West Virginia,54,031,Hardy County,POINT (-78.701111 39.110165),52081
1974,Hardy,West Virginia,54,031,Hardy County,POINT (-78.752838 39.100014),51874
1975,Ozaukee,Wisconsin,55,089,Ozaukee County,POINT (-88.030548 43.410454),89839
1976,Ozaukee,Wisconsin,55,089,Ozaukee County,POINT (-88.028015 43.428974),90087
1977,Ozaukee,Wisconsin,55,089,Ozaukee County,POINT (-87.900482 43.419651),90090
1978,Sullivan,Tennessee,47,163,Sullivan County,POINT (-82.096802 36.47818),33615
1979,Laurens,South Carolina,45,059,Laurens County,POINT (-82.166687 34.662102),21528
1980,Crook,Wyoming,56,011,Crook County,POINT (-104.085693 44.244114),100419
1981,Crook,Wyoming,56,011,Crook County,POINT (-104.059845 44.245995),100420
1982,Crook,Wyoming,56,011,Crook County,POINT (-104.062439 44.264519),100635
1983,Sheboygan,Wisconsin,55,117,Sheboygan County,POINT (-88.140869 43.73642),93261
1984,Sheboygan,Wisconsin,55,117,Sheboygan County,POINT (-88.035736 43.747593),93516
1985,Sheboygan,Wisconsin,55,117,Sheboygan County,POINT (-88.11013800000001 43.771645),93785
1986,Hampden,Massachusetts,25,013,Hampden County,POINT (-72.922089 42.082581),100580
1987,Hampden,Massachusetts,25,013,Hampden County,POINT (-73.01385500000001 42.180283),101378
1988,Hampden,Massachusetts,25,013,Hampden County,POINT (-72.989807 42.175011),101379
1989,Caldwell,Texas,48,055,Caldwell County,POINT (-97.710052 29.84671),5646
